,Financial_Planning,Financial_Goals,Analyze_Financial_Position,Tax_Saving_Schemes,Prompt_Installment_Payments,Profile_Risk,Recommended_Course
64,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
65,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
66,4,5,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
67,4,4,4,5,3,3,"Debt Management, Investment Basics"
69,3,4,3,2,4,3,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
70,5,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
71,4,4,4,3,3,2,"Debt Management, Investment Basics, Understanding Taxes"
72,3,4,4,4,4,2,"Financial Planning, Investment Basics"
73,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
74,5,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
75,4,4,4,4,3,3,"Debt Management, Investment Basics"
76,5,4,5,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
77,4,4,4,3,3,4,"Debt Management, Understanding Taxes"
79,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
80,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
81,4,5,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
82,4,5,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
83,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
84,4,4,4,4,3,3,"Debt Management, Investment Basics"
85,4,5,5,1,5,5,"Debt Management, Investment Basics, Understanding Taxes"
86,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
87,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
88,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
89,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
90,2,4,3,4,4,3,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
91,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
92,3,3,4,3,3,2,"Budget & Savings, Debt Management, Financial Planning"
93,5,5,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
94,4,5,4,4,3,2,"Debt Management, Investment Basics"
95,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
96,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
97,2,2,3,5,3,2,"Budget & Savings, Debt Management, Financial Planning"
98,3,4,4,4,4,1,"Financial Planning, Investment Basics"
99,4,4,5,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
100,3,2,4,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
101,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
102,4,4,4,4,3,3,"Debt Management, Investment Basics"
103,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
104,4,5,4,5,2,5,"Debt Management, Investment Basics, Understanding Taxes"
105,3,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
106,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
107,4,4,4,1,3,4,"Debt Management, Understanding Taxes"
108,4,3,4,2,3,2,"Budget & Savings, Debt Management, Investment Basics"
109,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
110,4,3,4,3,2,2,"Budget & Savings, Debt Management, Investment Basics"
111,5,5,5,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
112,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
113,5,4,4,2,4,3,"Investment Basics, Understanding Taxes"
114,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
115,5,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
116,3,3,4,3,3,4,"Budget & Savings, Debt Management, Financial Planning"
117,3,4,4,2,4,4,"Financial Planning, Understanding Taxes"
118,4,5,5,5,5,4,"Debt Management, Investment Basics, Understanding Taxes"
119,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
120,5,4,3,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
121,3,4,4,2,3,2,"Debt Management, Financial Planning, Investment Basics"
122,4,4,5,2,3,5,"Debt Management, Understanding Taxes"
123,3,3,4,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
124,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
125,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
126,3,4,4,4,4,2,"Financial Planning, Investment Basics"
127,4,4,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
128,4,4,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
129,4,5,5,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
130,4,3,5,3,3,4,"Budget & Savings, Debt Management, Understanding Taxes"
131,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
132,3,4,3,4,3,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
133,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
134,3,4,3,1,3,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
135,4,4,4,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
136,5,4,5,1,3,5,"Debt Management, Understanding Taxes"
137,3,5,5,5,4,3,"Financial Planning, Investment Basics"
138,3,3,4,4,4,4,"Budget & Savings, Financial Planning"
139,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
140,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
141,4,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
142,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
143,3,4,4,4,4,3,"Financial Planning, Investment Basics"
144,4,2,3,2,2,2,"Budget & Savings, Debt Management, Frugal Living and Spending Wisely"
145,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
146,3,3,4,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
147,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
148,1,2,3,2,4,1,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
149,3,4,5,5,4,3,"Financial Planning, Investment Basics"
150,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
151,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
152,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
153,3,4,4,4,5,4,"Debt Management, Investment Basics, Understanding Taxes"
154,3,4,4,2,3,4,"Debt Management, Financial Planning, Understanding Taxes"
155,4,4,4,4,3,3,"Debt Management, Investment Basics"
156,3,4,4,5,4,3,"Financial Planning, Investment Basics"
157,4,4,4,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
158,3,3,4,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
159,3,3,5,5,4,5,"Budget & Savings, Financial Planning"
160,3,4,4,2,4,2,"Financial Planning, Investment Basics, Understanding Taxes"
161,3,3,4,5,4,5,"Budget & Savings, Financial Planning"
162,2,2,3,3,4,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
163,4,5,5,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
164,1,1,1,1,2,1,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
165,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
166,2,1,3,2,2,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
167,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
168,4,5,5,3,4,2,"Investment Basics, Understanding Taxes"
169,3,3,4,4,3,4,"Budget & Savings, Debt Management, Financial Planning"
170,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
171,4,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
172,4,4,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
173,3,3,3,4,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
174,2,2,3,2,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
175,3,4,4,4,3,2,"Debt Management, Financial Planning, Investment Basics"
176,2,3,4,3,3,2,"Budget & Savings, Debt Management, Financial Planning"
177,3,4,4,4,3,2,"Debt Management, Financial Planning, Investment Basics"
178,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
179,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
180,3,4,4,4,4,2,"Financial Planning, Investment Basics"
181,3,3,3,4,4,3,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
182,5,5,5,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
183,3,3,4,4,4,4,"Budget & Savings, Financial Planning"
184,4,4,4,3,3,4,"Debt Management, Understanding Taxes"
185,3,3,3,4,3,4,"Budget & Savings, Debt Management, Financial Planning"
186,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
187,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
188,4,3,4,4,3,3,"Budget & Savings, Debt Management, Investment Basics"
189,4,5,5,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
190,5,4,5,5,3,5,"Debt Management, Investment Basics, Understanding Taxes"
191,4,4,4,2,3,3,"Debt Management, Investment Basics, Understanding Taxes"
192,4,5,5,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
193,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
194,3,2,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
195,5,4,5,3,3,4,"Debt Management, Understanding Taxes"
196,3,4,4,2,4,2,"Financial Planning, Investment Basics, Understanding Taxes"
197,2,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
198,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
199,4,4,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
200,4,5,5,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
201,3,4,4,5,4,3,"Financial Planning, Investment Basics"
202,4,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
203,3,3,4,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
204,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
205,5,4,4,3,3,4,"Debt Management, Understanding Taxes"
206,5,4,5,2,3,4,"Debt Management, Understanding Taxes"
207,4,4,4,2,3,4,"Debt Management, Understanding Taxes"
208,4,5,5,3,3,5,"Debt Management, Understanding Taxes"
209,2,5,4,5,4,2,"Financial Planning, Investment Basics"
210,4,3,4,4,3,2,"Budget & Savings, Debt Management, Investment Basics"
211,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
212,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
213,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
214,5,5,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
215,5,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
216,3,3,4,5,4,4,"Budget & Savings, Financial Planning"
217,2,2,4,2,3,2,"Budget & Savings, Debt Management, Financial Planning"
218,3,2,3,3,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
219,4,4,3,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
220,2,3,4,2,2,3,"Budget & Savings, Debt Management, Financial Planning"
221,3,4,4,5,4,3,"Financial Planning, Investment Basics"
222,4,5,5,2,3,4,"Debt Management, Understanding Taxes"
223,5,4,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
224,5,5,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
225,4,4,3,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
226,4,4,5,3,3,3,"Debt Management, Investment Basics, Understanding Taxes"
227,3,4,5,4,3,4,"Debt Management, Financial Planning"
228,3,3,3,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
229,3,2,4,5,4,2,"Budget & Savings, Financial Planning, Investment Basics"
230,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
231,4,4,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
232,3,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
233,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
234,3,4,3,2,3,3,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
235,5,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
236,2,4,4,4,3,4,"Debt Management, Financial Planning"
237,3,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
238,3,3,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
239,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
240,3,3,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
241,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
242,4,3,4,2,4,2,"Budget & Savings, Investment Basics, Understanding Taxes"
243,4,5,5,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
244,3,4,3,5,4,3,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
245,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
246,4,4,3,4,3,2,"Debt Management, Frugal Living and Spending Wisely, Investment Basics"
247,3,3,3,4,3,3,"Budget & Savings, Debt Management, Financial Planning"
248,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
249,4,4,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
250,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
251,4,4,4,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
252,4,3,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
253,4,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
254,3,3,4,2,4,2,"Budget & Savings, Financial Planning, Investment Basics"
255,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
256,3,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
257,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
258,4,3,4,4,3,3,"Budget & Savings, Debt Management, Investment Basics"
259,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
260,4,5,4,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
261,2,2,3,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
262,5,5,5,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
263,3,3,3,2,4,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
264,3,3,3,4,4,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
265,4,4,4,5,4,2,"Debt Management, Investment Basics, Understanding Taxes"
266,4,4,4,2,4,3,"Investment Basics, Understanding Taxes"
267,4,4,5,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
268,2,2,4,2,2,4,"Budget & Savings, Debt Management, Financial Planning"
269,2,2,3,2,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
270,3,4,3,3,3,2,"Debt Management, Financial Planning, Frugal Living and Spending Wisely"
271,4,5,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
272,3,4,4,3,4,4,"Financial Planning, Understanding Taxes"
273,5,5,5,2,3,5,"Debt Management, Understanding Taxes"
274,3,4,4,4,3,3,"Debt Management, Financial Planning, Investment Basics"
275,4,4,4,4,3,3,"Debt Management, Investment Basics"
276,4,4,3,4,5,3,"Frugal Living and Spending Wisely, Investment Basics"
277,4,4,5,3,4,2,"Investment Basics, Understanding Taxes"
279,4,5,4,3,3,4,"Debt Management, Understanding Taxes"
280,3,4,4,5,3,4,"Debt Management, Financial Planning"
281,3,5,4,5,4,3,"Financial Planning, Investment Basics"
282,4,4,4,5,3,3,"Debt Management, Investment Basics"
283,4,5,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
284,4,4,5,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
285,4,5,4,1,4,2,"Investment Basics, Understanding Taxes"
286,4,4,5,4,3,3,"Debt Management, Investment Basics"
287,5,5,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
288,4,4,4,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
289,3,4,4,4,2,4,"Debt Management, Financial Planning"
290,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
291,4,4,5,5,3,3,"Debt Management, Investment Basics"
292,3,4,4,2,3,3,"Debt Management, Financial Planning, Investment Basics"
293,3,3,3,5,4,4,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
294,4,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
295,4,3,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
296,3,5,4,4,4,3,"Financial Planning, Investment Basics"
297,4,2,4,4,4,2,"Budget & Savings, Investment Basics"
298,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
299,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
300,5,5,5,4,5,3,"Debt Management, Investment Basics, Understanding Taxes"
301,4,5,5,4,5,4,"Debt Management, Investment Basics, Understanding Taxes"
302,3,4,3,5,4,2,"Financial Planning, Frugal Living and Spending Wisely, Investment Basics"
303,3,3,5,3,3,3,"Budget & Savings, Debt Management, Financial Planning"
304,5,5,5,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
305,3,2,4,4,2,2,"Budget & Savings, Debt Management, Financial Planning"
306,5,5,5,1,4,2,"Investment Basics, Understanding Taxes"
307,2,3,3,2,3,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
308,3,5,4,2,4,2,"Financial Planning, Investment Basics, Understanding Taxes"
309,3,2,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
310,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
311,4,5,5,2,4,3,"Investment Basics, Understanding Taxes"
312,5,5,5,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
313,5,5,4,3,4,3,"Investment Basics, Understanding Taxes"
314,3,4,4,3,3,2,"Debt Management, Financial Planning, Investment Basics"
315,5,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
316,5,5,5,2,4,4,"Debt Management, Investment Basics, Understanding Taxes"
317,4,5,4,3,4,4,"Debt Management, Investment Basics, Understanding Taxes"
318,3,2,4,2,4,3,"Budget & Savings, Financial Planning, Investment Basics"
319,4,4,3,2,4,4,"Frugal Living and Spending Wisely, Understanding Taxes"
320,4,4,4,4,4,3,"Debt Management, Investment Basics, Understanding Taxes"
321,4,4,4,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
322,2,2,2,4,2,2,"Budget & Savings, Debt Management, Financial Planning"
323,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
324,3,5,5,4,3,2,"Debt Management, Financial Planning, Investment Basics"
325,4,4,3,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
326,3,4,4,4,4,3,"Financial Planning, Investment Basics"
327,4,5,4,3,4,3,"Investment Basics, Understanding Taxes"
328,3,4,4,2,3,2,"Debt Management, Financial Planning, Investment Basics"
329,2,4,4,4,4,2,"Financial Planning, Investment Basics"
330,3,4,4,4,4,2,"Financial Planning, Investment Basics"
331,5,5,4,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
332,4,3,4,5,3,4,"Budget & Savings, Debt Management"
333,5,5,5,2,2,4,"Debt Management, Understanding Taxes"
334,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
335,3,3,3,3,4,2,"Budget & Savings, Financial Planning, Frugal Living and Spending Wisely"
336,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
337,4,5,5,1,4,3,"Investment Basics, Understanding Taxes"
338,5,5,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
339,4,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
340,5,5,5,4,4,2,"Debt Management, Investment Basics, Understanding Taxes"
341,4,4,5,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
342,2,2,4,4,4,2,"Budget & Savings, Financial Planning, Investment Basics"
343,4,4,4,3,3,4,"Debt Management, Understanding Taxes"
344,5,5,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
345,5,5,5,5,3,5,"Debt Management, Investment Basics, Understanding Taxes"
346,4,4,4,5,3,4,"Debt Management, Investment Basics, Understanding Taxes"
347,4,4,5,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
349,2,4,4,2,4,4,"Financial Planning, Understanding Taxes"
350,2,3,3,4,3,2,"Budget & Savings, Debt Management, Financial Planning"
351,3,3,4,4,5,3,"Budget & Savings, Financial Planning, Investment Basics"
352,3,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
353,5,5,4,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
354,4,4,4,5,3,2,"Debt Management, Investment Basics"
355,5,5,5,3,4,5,"Debt Management, Investment Basics, Understanding Taxes"
356,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
357,4,5,4,4,3,4,"Debt Management, Investment Basics, Understanding Taxes"
358,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
359,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
360,4,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
361,5,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
362,4,3,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
363,4,4,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
364,3,4,4,5,4,5,"Debt Management, Investment Basics, Understanding Taxes"
365,2,3,4,2,4,2,"Budget & Savings, Financial Planning, Investment Basics"
366,3,3,4,4,3,4,"Budget & Savings, Debt Management, Financial Planning"
368,4,4,5,5,3,3,"Debt Management, Investment Basics"
369,4,5,5,4,4,5,"Debt Management, Investment Basics, Understanding Taxes"
370,3,4,4,3,4,4,"Financial Planning, Understanding Taxes"
371,4,4,4,4,3,3,"Debt Management, Investment Basics"
372,5,5,4,2,4,3,"Investment Basics, Understanding Taxes"
373,4,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
374,4,4,4,5,4,3,"Debt Management, Investment Basics, Understanding Taxes"
375,4,3,4,4,2,3,"Budget & Savings, Debt Management, Investment Basics"
376,4,5,5,5,5,3,"Debt Management, Investment Basics, Understanding Taxes"
378,3,3,4,2,3,2,"Budget & Savings, Debt Management, Financial Planning"
379,3,5,4,2,4,4,"Financial Planning, Understanding Taxes"
380,1,1,2,4,2,1,"Budget & Savings, Debt Management, Financial Planning"
381,2,2,3,5,3,2,"Budget & Savings, Debt Management, Financial Planning"
382,3,4,4,5,4,4,"Debt Management, Investment Basics, Understanding Taxes"
383,4,4,4,4,4,4,"Debt Management, Investment Basics, Understanding Taxes"
